Date,Time,BioSignature,Count
22/04/2011,16:04,Clay,24
22/04/2011,17:44,Magnetofossils,33
23/04/2011,06:15,Clay,35
24/04/2011,17:42,Permafrost,8
25/04/2011,17:40,Magnetofossils,24
26/04/2011,21:47,Water,15
27/04/2011,19:56,Mineralizing Springs,18
27/04/2011,00:26,Mineralizing Soils,4
27/04/2011,14:52,Microfossils,26
27/04/2011,02:35,Metalloids,3
27/04/2011,20:59,Permafrost,5
28/04/2011,09:29,Mineralizing Springs,35
29/04/2011,07:32,Metalloids,13
29/04/2011,23:02,Mineralizing Springs,5
29/04/2011,03:54,Evaporite,28
30/04/2011,09:56,Permafrost,1
30/04/2011,10:37,Water,36
30/04/2011,11:07,Permafrost,33
01/05/2011,08:14,Clay,20
02/05/2011,11:35,Metalloids,27
03/05/2011,09:13,Evaporite,26
03/05/2011,19:09,Metalloids,39
04/05/2011,13:46,Mineralizing Soils,35
04/05/2011,23:45,Mineralizing Springs,18
05/05/2011,08:40,Water,32
06/05/2011,08:43,Metalloids,36
06/05/2011,06:31,Clay,23
07/05/2011,22:29,Clay,35
08/05/2011,05:29,Metalloids,20
08/05/2011,06:02,Clay,26
09/05/2011,07:54,Mineralizing Springs,5
09/05/2011,05:37,Microfossils,35
10/05/2011,07:21,Mineralizing Soils,4
11/05/2011,17:37,Mineralizing Springs,23
12/05/2011,01:08,Mineralizing Springs,22
12/05/2011,09:29,Metalloids,38
12/05/2011,23:09,Mineralizing Springs,28
12/05/2011,02:35,Mineralizing Soils,35
13/05/2011,07:26,Water,12
14/05/2011,06:29,Microfossils,28
14/05/2011,21:38,Permafrost,28
15/05/2011,22:20,Mineralizing Springs,7
15/05/2011,05:23,Magnetofossils,22
16/05/2011,00:39,Clay,30
17/05/2011,06:43,Metalloids,30
18/05/2011,08:56,Clay,19
19/05/2011,00:57,Metalloids,10
19/05/2011,22:53,Evaporite,7
20/05/2011,19:31,Microfossils,19
21/05/2011,17:59,Clay,11
22/05/2011,02:01,Water,6
22/05/2011,01:57,Microfossils,18
22/05/2011,00:30,Clay,34
22/05/2011,15:49,Mineralizing Soils,32
23/05/2011,22:04,Magnetofossils,35
24/05/2011,17:07,Clay,16
24/05/2011,16:04,Mineralizing Soils,34
25/05/2011,14:34,Water,25
26/05/2011,11:45,Mineralizing Soils,38
26/05/2011,20:18,Magnetofossils,38
26/05/2011,22:24,Mineralizing Springs,25
26/05/2011,03:50,Mineralizing Springs,18
26/05/2011,05:53,Permafrost,31
27/05/2011,21:03,Permafrost,27
27/05/2011,11:24,Mineralizing Springs,21
28/05/2011,13:13,Clay,17
28/05/2011,22:29,Metalloids,25
28/05/2011,19:28,Microfossils,6
29/05/2011,08:58,Clay,38
29/05/2011,08:20,Magnetofossils,32
29/05/2011,23:30,Metalloids,11
30/05/2011,13:37,Microfossils,22
31/05/2011,05:51,Mineralizing Soils,1
01/06/2011,14:01,Magnetofossils,1
02/06/2011,10:41,Water,32
02/06/2011,06:25,Permafrost,37
03/06/2011,16:29,Water,35
03/06/2011,23:36,Water,36
04/06/2011,13:33,Mineralizing Springs,41
04/06/2011,05:05,Mineralizing Springs,3
04/06/2011,15:40,Mineralizing Springs,28
04/06/2011,00:13,Water,14
04/06/2011,18:06,Mineralizing Springs,30
05/06/2011,16:52,Evaporite,30
06/06/2011,13:14,Microfossils,2
07/06/2011,04:59,Microfossils,31
07/06/2011,16:26,Mineralizing Springs,40
08/06/2011,23:26,Mineralizing Soils,35
09/06/2011,22:29,Permafrost,39
09/06/2011,03:16,Mineralizing Springs,38
10/06/2011,04:24,Microfossils,2
11/06/2011,01:55,Water,19
11/06/2011,06:54,Mineralizing Springs,36
12/06/2011,04:50,Mineralizing Soils,24
13/06/2011,10:41,Mineralizing Soils,16
13/06/2011,10:15,Mineralizing Springs,30
13/06/2011,07:19,Metalloids,11
14/06/2011,20:23,Mineralizing Springs,5
15/06/2011,05:12,Mineralizing Soils,33
16/06/2011,04:44,Evaporite,27
17/06/2011,09:51,Permafrost,38
17/06/2011,11:57,Permafrost,36
17/06/2011,05:15,Permafrost,23
18/06/2011,23:11,Microfossils,37
18/06/2011,12:52,Magnetofossils,17
18/06/2011,12:11,Water,5
18/06/2011,16:00,Permafrost,34
18/06/2011,15:54,Microfossils,40
19/06/2011,10:55,Metalloids,8
19/06/2011,01:29,Permafrost,40
20/06/2011,12:32,Magnetofossils,25
20/06/2011,09:54,Mineralizing Soils,23
20/06/2011,08:02,Microfossils,6
21/06/2011,21:25,Metalloids,28
22/06/2011,10:19,Water,41
22/06/2011,20:23,Evaporite,28
23/06/2011,15:02,Microfossils,3
24/06/2011,23:30,Evaporite,36
25/06/2011,11:55,Clay,35
25/06/2011,10:29,Clay,12
26/06/2011,22:58,Magnetofossils,6
27/06/2011,06:05,Permafrost,38
27/06/2011,14:12,Clay,6
28/06/2011,03:59,Permafrost,15
28/06/2011,00:36,Magnetofossils,23
28/06/2011,09:54,Metalloids,16
29/06/2011,18:33,Mineralizing Soils,8
30/06/2011,19:06,Microfossils,33
30/06/2011,03:38,Mineralizing Soils,19
01/07/2011,04:23,Mineralizing Springs,11
02/07/2011,14:16,Mineralizing Springs,30
02/07/2011,01:26,Permafrost,28
02/07/2011,23:45,Evaporite,14
02/07/2011,13:21,Metalloids,25
02/07/2011,17:16,Mineralizing Springs,31
03/07/2011,15:28,Clay,12
03/07/2011,12:32,Microfossils,27
04/07/2011,01:16,Mineralizing Soils,36
04/07/2011,18:36,Water,11
05/07/2011,06:44,Metalloids,4
